preferred_study_level,phd_supervisor,supervisor_approval,intended_study_area,preferred_dest_1,preferred_dest_2,preferred_dest_3,study_plan,uni_contacted,application_process,current_status,work_experience,birth_year,passport,academic_backlogs,number_of_backlogs,budget,funding_source,parents_occupation,english_test_taken,english_test_name,english_test_score,family_abroad,other_consultants,lead_converted_flag
Postgraduate,No,No,Arts,UK,Australia,Australia,01-2021,No,No,Working professional,<1,1995,Yes,No,0,Not provided,Combined self /parent funding and bank loan,In-Service,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Computer Science and Information Technology,Australia,UK,Other,01-2021,No,No,Student,0,2002,No,No,0,10-20,Bank loan,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Engineering,Australia,Other,Other,01-2021,No,No,Working professional,<1,1996,Yes,Yes,>10,10-20,Self funding,Not provided,No,Not Taken,0.0,No,No,1
Postgraduate,No,No,Business & Economics,Australia,Canada,UK,01-2021,No,No,Student,0,1999,No,No,0,Not provided,Other,In-Service,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Music,Canada,UK,Other,01-2021,No,No,Student,0,2003,No,No,0,Not provided,Combined self /parent funding and bank loan,Not provided,No,Not Taken,0.0,No,No,0
Vocational,No,No,Other,Canada,Australia,USA,01-2021,No,No,Working professional,1-3,1984,Yes,No,0,Not provided,Not provided,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Architecture & Built Environment Studies,Australia,Other,Other,01-2021,No,No,Working professional,<1,1994,Yes,Yes,<5,Not provided,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,1
Postgraduate,No,No,Business & Economics,Australia,Australia,Australia,01-2021,No,No,Working professional,1-3,1996,No,No,0,<10,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,business management ,Canada,Other,Other,01-2021,No,No,Student,0,2001,No,No,0,Not provided,Bank loan,Not provided,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Computer Science and Information Technology,Canada,Other,Other,01-2021,Yes,No,Student,0,2003,Yes,No,0,Not provided,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Physiotherapy,Canada,Canada,Canada,01-2021,No,No,Student,0,1996,Yes,No,0,10-20,Parents asset,In-Service,Yes,IELTS,6.5,Yes,No,1
Undergraduate,No,No,nursing,Canada,Other,Other,01-2021,Yes,No,Student,0,2002,Yes,No,0,Not provided,Combined self /parent funding and bank loan,Not provided,No,Not Taken,0.0,Yes,No,0
Vocational,No,No,Business & Economics,Canada,Canada,Canada,01-2021,No,No,Student,0,2002,Yes,No,0,10-20,Parents asset,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Networking,Canada,Other,Other,01-2021,No,No,Working professional,7+,1984,Yes,No,0,10-20,Self funding,In-Service,Yes,Other,120.0,No,No,1
Postgraduate,No,No,Engineering,UK,Australia,Canada,01-2021,No,No,Student,0,1994,Yes,Yes,>10,<10,Parents asset,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Supply chain management,Canada,Canada,Canada,01-2021,No,No,Working professional,1-3,1995,Yes,No,0,10-20,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Vocational,No,No,Business & Economics,UK,Australia,Canada,01-2024,No,No,Working professional,1-3,1995,Yes,No,0,Not provided,Not provided,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Sciences,USA,Other,Other,01-2021,No,No,Working professional,1-3,1998,No,No,0,<10,Self funding,Own business,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Law/legal studies,UK,Other,Other,01-2021,No,No,Student,0,1999,No,No,0,Not provided,Bank loan,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Other,Canada,Australia,Other,01-2021,No,No,Student,0,1994,Yes,No,0,Not provided,Parents asset,Own business,Yes,IELTS,6.0,Yes,No,0
Postgraduate,No,No,Health Care management  ,UK,Other,Other,01-2021,No,No,Working professional,1-3,1993,Yes,No,0,<10,Bank loan,Not provided,Yes,IELTS,6.0,Yes,No,0
Postgraduate,No,No,Engineering,UK,Australia,New Zealand,01-2021,No,No,Working professional,<1,1996,Yes,Yes,6,Not provided,Self funding,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Engineering,UK,Other,Other,01-2021,No,No,Student,0,1997,Yes,Yes,<5,20-30,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Engineering,UK,Other,Other,01-2021,No,No,Student,0,2000,No,Yes,>10,10-20,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Law/legal studies,USA,Other,Other,01-2021,No,No,Student,0,2003,Yes,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Business & Economics,USA,Other,Other,01-2021,No,No,Student,0,2000,Yes,No,0,Not provided,Not provided,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Business & Economics,USA,UK,Other,01-2022,No,No,Student,0,2000,No,No,0,Not provided,Not provided,Own business,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Engineering,USA,Other,Other,01-2022,Yes,No,Student,0,2004,No,No,0,Not provided,Bank loan,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,MBA,New Zealand,Other,Other,01-2021,No,No,Student,0,1995,Yes,No,0,Not provided,Parents asset,In-Service,Yes,IELTS,6.5,Yes,No,0
Postgraduate,No,No,Business & Economics,Ireland,Canada,New Zealand,01-2021,No,No,Working professional,<1,1995,Yes,No,0,10-20,Bank loan,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Business & Economics,Australia,New Zealand,Other,01-2021,Yes,No,Student,0,2000,Yes,No,0,Not provided,Not provided,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,mathematics ,Australia,Other,Other,01-2021,No,No,Student,0,2001,No,No,0,<10,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,MBA,Australia,UK,Other,01-2021,No,No,Student,0,1998,Yes,No,0,Not provided,Not provided,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Pharmacy,Australia,Other,Other,01-2022,No,No,Student,0,1995,Yes,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Finance,UK,Other,Other,01-2021,No,No,Working professional,1-3,1996,Yes,No,0,Not provided,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Vocational,No,No,risk mangement,Australia,Australia,Australia,01-2021,No,No,Student,0,2000,Yes,Yes,<5,10-20,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Engineering,Australia,Other,Other,01-2021,No,No,Student,0,1999,Yes,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,No,No,1
Vocational,No,No,Computer Science and Information Technology,Australia,Canada,Other,01-2021,No,No,Student,0,2003,Yes,No,0,Not provided,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,DATA ANALYTICS,Canada,Canada,Canada,01-2021,No,No,Working professional,1-3,1995,Yes,No,0,>30,Bank loan,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Management ,Canada,Other,Other,06-2005,No,No,Student,0,1995,Yes,Yes,<5,Not provided,Parents asset,Not provided,Yes,IELTS,6.0,Yes,No,0
Postgraduate,No,No,AI,Canada,UK,USA,01-2022,Yes,No,Student,0,2001,No,No,0,10-20,Bank loan,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Medicine,UK,Canada,Australia,01-2021,No,No,Student,0,1996,Yes,No,0,Not provided,Bank loan,In-Service,No,Not Taken,0.0,No,No,0
Vocational,No,No,Culnary skills,Canada,Other,Other,01-2021,Yes,No,Student,0,2003,Yes,No,0,10-20,Parents asset,Own business,Yes,IELTS,6.5,Yes,No,1
Vocational,No,No,finance,Canada,Other,Other,01-2021,No,No,Student,0,1992,Yes,No,0,20-30,Combined self /parent funding and bank loan,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Computer Science and Information Technology,USA,Canada,Canada,01-2021,No,No,Working professional,1-3,1995,Yes,Yes,<5,<10,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Business & Economics,Australia,UK,Canada,01-2021,No,No,Working professional,7+,1989,Yes,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Engineering,UK,Australia,Other,01-2021,No,No,Student,0,1999,No,Yes,<5,Not provided,Parents asset,Own business,No,Not Taken,0.0,No,No,0
Vocational,No,No,business management ,Canada,Other,Other,01-2021,No,No,Working professional,7+,1981,Yes,Yes,6,Not provided,Self funding,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,business management ,Canada,Other,Other,01-2021,No,No,Student,0,1997,Yes,No,0,Not provided,Self funding,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Health proffession,UK,Canada,Canada,06-2005,Yes,Yes,Working professional,<1,2000,Yes,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,Yes,No,0
Vocational,No,No,Business & Economics,UK,Canada,Other,01-2021,No,No,Student,0,2000,Yes,No,0,10-20,Parents asset,Own business,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Business & Economics,UK,Other,Other,01-2021,Yes,No,Student,0,2002,Yes,No,0,10-20,Self funding,Own business,No,Not Taken,0.0,Yes,yes,1
Undergraduate,No,No,Architecture & Built Environment Studies,UK,UK,UK,01-2021,Yes,No,Student,0,2003,Yes,No,0,Not provided,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Medicine,UK,Australia,Other,01-2022,No,No,Student,0,1996,Yes,No,0,Not provided,Parents asset,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,MBA,Canada,Other,Other,01-2021,Yes,No,Student,0,1998,Yes,No,0,Not provided,Parents asset,Own business,Yes,GRE,315.0,No,No,0
Postgraduate,No,No,Business & Economics,USA,Australia,UK,01-2022,No,No,Student,0,1997,No,No,0,Not provided,Other,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,management ,USA,Canada,Other,01-2021,No,No,Student,0,1999,Yes,Yes,<5,10-20,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Computer Science and Information Technology,Australia,Australia,Australia,01-2021,No,No,Working professional,1-3,1995,Yes,No,0,20-30,Parents asset,Own business,Yes,TOEFL,8.1,Yes,No,0
Undergraduate,No,No,Engineering,Australia,Other,Other,01-2021,No,No,Student,0,2000,Yes,No,0,Not provided,Sponsorship by relatives,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Physiotherapy,Australia,USA,Other,01-2021,No,No,Student,0,1999,Yes,No,0,Not provided,Parents asset,In-Service,Yes,IELTS,8.0,Yes,No,0
Postgraduate,No,No,Computer Science and Information Technology,Australia,USA,UK,01-2021,No,No,Working professional,1-3,1996,Yes,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,No,No,0
Vocational,No,No,Makeup,Australia,Other,Other,01-2021,No,No,Student,0,1999,No,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Construction Management ,Australia,Other,Other,01-2021,No,No,Working professional,4-6,1993,Yes,No,0,Not provided,Self funding,Own business,No,Not Taken,0.0,No,No,1
Vocational,No,No,Travel,Australia,Other,Other,01-2021,No,No,Working professional,4-6,1993,No,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,Yes,No,1
Vocational,No,No,Sciences,Australia,Canada,UK,01-2021,Yes,No,Student,0,1996,Yes,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,AI,Canada,Other,Other,01-2021,No,No,Student,0,1999,Yes,No,0,10-20,Parents asset,Own business,Yes,IELTS,6.0,No,No,0
Postgraduate,No,No,Engineering,Canada,USA,New Zealand,01-2021,No,No,Student,0,1998,Yes,No,0,Not provided,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Vocational,No,No,Agriculture,Canada,Other,Other,01-2021,No,No,Student,0,2000,No,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Agriculture,Canada,Other,Other,01-2021,No,No,Student,0,1998,Yes,No,0,20-30,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Engineering,Canada,UK,Ireland,01-2021,No,No,Student,0,1998,Yes,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Other,Canada,Other,Other,01-2021,Yes,No,Working professional,4-6,1991,Yes,No,0,<10,Combined self /parent funding and bank loan,In-Service,Yes,IELTS,7.0,Yes,No,0
Undergraduate,No,No,Computer Science and Information Technology,UK,Other,Other,01-2021,No,No,Student,0,2002,Yes,No,0,>30,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Sports,UK,Other,Other,01-2021,No,No,Working professional,7+,1994,Yes,No,0,10-20,Self funding,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Business Management ,USA,Other,Other,01-2021,No,No,Working professional,1-3,1996,Yes,No,0,Not provided,Parents asset,Own business,Yes,GMAT,500.0,Yes,No,0
Postgraduate,No,No,Computer Science and Information Technology,Canada,Australia,New Zealand,01-2021,No,No,Student,0,1994,Yes,No,0,10-20,Combined self /parent funding and bank loan,In-Service,No,Not Taken,0.0,Yes,No,0
Vocational,No,No,Automobiles,UK,Other,Other,01-2021,No,No,Working professional,7+,1991,Yes,No,0,Not provided,Self funding,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Fashion designing,UK,Canada,Ireland,01-2021,No,No,Working professional,<1,1995,Yes,Yes,<5,<10,Parents asset,In-Service,No,Not Taken,0.0,No,No,1
Postgraduate,No,No,Law/legal studies,Canada,Other,Other,01-2021,No,No,Working professional,1-3,1995,Yes,No,0,10-20,Self funding,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Biology,UK,Australia,Canada,01-2021,No,No,Student,0,1995,Yes,No,0,Not provided,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Sciences,USA,Canada,Australia,01-2021,No,No,Student,0,2003,Yes,No,0,Not provided,Other,In-Service,No,Not Taken,0.0,No,No,1
Postgraduate,No,No,Public Health,USA,Canada,Canada,01-2021,No,No,Working professional,7+,1981,Yes,Yes,<5,Not provided,Self funding,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Business & Economics,Australia,Other,Other,01-2021,Yes,No,Student,0,1998,Yes,No,0,<10,Parents asset,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Business & Economics,Australia,Australia,Australia,01-2021,No,No,Working professional,1-3,1993,Yes,No,0,10-20,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Business & Economics,Australia,Other,Other,01-2021,No,No,Student,0,1998,Yes,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Hospitality,Australia,Other,Other,01-2021,No,No,Student,0,2000,Yes,No,0,Not provided,Parents asset,In-Service,Yes,IELTS,6.5,Yes,No,1
Postgraduate,No,No,Business & Economics,Australia,UK,USA,01-2021,No,No,Working professional,1-3,1994,Yes,No,0,10-20,Parents asset,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,MBA,Australia,USA,Other,01-2021,Yes,No,Working professional,4-6,1996,No,No,0,20-30,Combined self /parent funding and bank loan,In-Service,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,management ,Australia,Other,Other,01-2021,No,No,Student,0,2003,Yes,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Engineering,Canada,Other,Other,01-2021,No,No,Working professional,1-3,1994,Yes,No,0,Not provided,Other,In-Service,Yes,IELTS,5.5,No,No,0
Postgraduate,No,No,business management ,Canada,Other,Other,01-2021,Yes,No,Student,0,1996,Yes,No,0,Not provided,Parents asset,Not provided,Yes,TOEFL,103.0,Yes,No,0
Postgraduate,No,No,law,Canada,Canada,Canada,01-2022,No,No,Student,0,2000,No,No,0,<10,Parents asset,In-Service,No,Not Taken,0.0,Yes,No,0
Vocational,No,No,Other,Canada,Other,Other,01-2021,No,No,Working professional,1-3,1996,Yes,No,0,Not provided,Not provided,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Para Medical,Canada,Other,Other,01-2021,No,No,Student,0,1997,Yes,No,0,<10,Parents asset,In-Service,Yes,IELTS,7.0,Yes,No,0
Postgraduate,No,No,Business & Economics,Canada,Canada,Canada,01-2022,No,No,Student,0,1999,Yes,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Robotics,Canada,Other,Other,01-2022,No,No,Student,0,2000,Yes,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Business & Economics,Canada,Canada,Canada,01-2021,No,No,Student,0,2000,Yes,No,0,10-20,Parents asset,Own business,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Nursing,USA,Other,Other,01-2021,No,No,Student,0,1998,Yes,No,0,Not provided,Combined self /parent funding and bank loan,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Other,UK,Canada,Other,01-2021,No,No,Student,0,1999,Yes,Yes,<5,10-20,Parents asset,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Business Management,USA,Other,Other,01-2021,No,No,Student,0,2000,Yes,No,0,>30,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Computer Science and Information Technology,UK,Other,Other,01-2021,No,No,Student,0,1998,Yes,No,0,Not provided,Self funding,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,MBA,UK,Other,Other,01-2021,No,No,Working professional,4-6,1992,Yes,Yes,<5,Not provided,Parents asset,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,business management ,UK,Other,Other,01-2021,Yes,No,Student,0,1990,Yes,Yes,<5,20-30,Combined self /parent funding and bank loan,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Fashion,UK,USA,USA,01-2021,No,No,Working professional,1-3,1997,Yes,Yes,<5,20-30,Combined self /parent funding and bank loan,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,M.Ed,Canada,UK,Other,01-2021,No,No,Working professional,1-3,1996,Yes,No,0,10-20,Combined self /parent funding and bank loan,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Engineering,Australia,USA,Other,01-2021,No,No,Student,0,1997,Yes,No,0,20-30,Parents asset,Own business,Yes,TOEFL,8.2,No,No,0
Postgraduate,No,No,Business & Economics,UK,Canada,USA,01-2021,No,No,Working professional,<1,1998,Yes,No,0,20-30,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Fashion Designing,UK,Canada,Other,01-2021,Yes,No,Student,0,1999,Yes,No,0,20-30,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Media & Communications,USA,Other,Other,01-2021,No,No,Student,0,2003,No,No,0,<10,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Data Science,USA,Other,Other,01-2021,No,No,Working professional,<1,1999,Yes,Yes,<5,Not provided,Parents asset,Own business,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Business & Economics,Canada,Other,Other,09-2022,No,No,Student,0,2003,Yes,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Business & Economics,Australia,USA,Canada,01-2021,No,No,Working professional,1-3,1999,No,No,0,<10,Parents asset,In-Service,No,Not Taken,0.0,Yes,No,0
Vocational,No,No,Business,Australia,Other,Other,01-2021,No,No,Working professional,1-3,1996,Yes,No,0,10-20,Parents asset,Not provided,Yes,IELTS,6.0,Yes,No,0
Postgraduate,No,No,Engineering,UK,USA,Australia,01-2021,No,No,Working professional,4-6,1990,Yes,No,0,Not provided,Bank loan,In-Service,No,Not Taken,0.0,Yes,No,0
Vocational,No,No,Engineering,Australia,Canada,Other,01-2021,No,No,Working professional,4-6,1996,No,No,0,Not provided,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Computer Science and Information Technology,Australia,Other,Other,01-2021,No,No,Working professional,1-3,1992,Yes,No,0,Not provided,Self funding,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Other,Canada,USA,Other,01-2021,Yes,No,Student,0,1995,Yes,No,0,Not provided,Not provided,In-Service,Yes,Other,135.0,Yes,No,0
Postgraduate,No,No,AI,Canada,Ireland,Other,01-2021,No,No,Working professional,4-6,1994,Yes,Yes,>10,Not provided,Self funding,Own business,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Computer Science and Information Technology,Canada,Other,Other,01-2021,No,No,Student,0,2001,No,No,0,10-20,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Land & Environment,Canada,Canada,Canada,01-2021,Yes,No,Working professional,<1,1995,Yes,Yes,<5,10-20,Bank loan,Own business,Yes,IELTS,6.0,Yes,No,0
Undergraduate,No,No,Engineering,Canada,Other,Other,09-2022,No,No,Working professional,7+,1982,No,No,0,Not provided,Self funding,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Engineering,Canada,Other,Other,01-2021,Yes,No,Student,0,2000,Yes,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Business & Economics,Canada,UK,UK,01-2021,No,No,Working professional,1-3,1997,Yes,No,0,>30,Parents asset,In-Service,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Computer Science and Information Technology,Canada,Other,Other,01-2021,No,No,Student,0,2003,Yes,No,0,Not provided,Parents asset,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Other,Canada,UK,Other,01-2022,Yes,No,Working professional,<1,1998,Yes,No,0,10-20,Bank loan,In-Service,Yes,IELTS,6.7,Yes,Yes,0
Postgraduate,No,No,Mass communication,Ireland,Canada,Other,01-2022,No,No,Student,0,1998,Yes,No,0,Not provided,Combined self /parent funding and bank loan,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Computer Science and Information Technology,USA,USA,USA,01-2021,No,No,Working professional,1-3,1992,Yes,No,0,10-20,Parents asset,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Finance,USA,Other,Other,01-2021,No,No,Working professional,1-3,1995,Yes,No,0,Not provided,Self funding,Not provided,No,Not Taken,0.0,Yes,No,0
Vocational,No,No,Education,UK,Canada,Other,01-2022,No,No,Working professional,1-3,1993,Yes,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Psychology,USA,Other,USA,01-2022,Yes,No,Student,0,1997,No,No,0,Not provided,Parents asset,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,cyber security,UK,Canada,Other,01-2021,Yes,Yes,Student,0,1998,Yes,No,0,Not provided,Combined self /parent funding and bank loan,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Business & Economics,New Zealand,Canada,Australia,01-2022,No,No,Student,0,1997,No,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,hospitality,Australia,UK,New Zealand,01-2021,No,No,Working professional,4-6,1997,Yes,No,0,Not provided,Combined self /parent funding and bank loan,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Supply chain,Canada,Other,Other,01-2021,No,No,Student,0,1999,No,No,0,Not provided,Combined self /parent funding and bank loan,In-Service,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,management ,Australia,Other,Other,01-2021,No,No,Working professional,1-3,1995,No,No,0,10-20,Combined self /parent funding and bank loan,Not provided,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Other,Canada,Other,Other,09-2022,No,No,Student,0,2003,No,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Computer Science and Information Technology,Canada,Canada,Canada,01-2021,No,No,Student,0,2004,No,No,0,<10,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Biotech,Canada,UK,Other,01-2021,No,No,Student,0,1998,Yes,No,0,Not provided,Parents asset,Own business,Yes,TOEFL,110.0,No,No,0
Undergraduate,No,No,Nursing,Canada,Other,Other,01-2021,No,No,Working professional,1-3,1995,Yes,No,0,10-20,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,0
Postgraduate,No,No,Computer Science and Information Technology,Canada,Canada,Canada,01-2021,No,No,Working professional,1-3,1996,Yes,No,0,Not provided,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Sciences,UK,Australia,Other,01-2021,No,No,Student,0,2002,No,No,0,Not provided,Not provided,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,project management ,Canada,Other,Other,01-2021,Yes,Yes,Working professional,7+,1988,Yes,Yes,>10,10-20,Self funding,Not provided,Yes,IELTS,6.0,No,No,0
Postgraduate,No,No,Engineering,UK,Other,Other,09-2023,No,No,Student,0,1998,Yes,No,0,Not provided,Parents asset,Own business,No,Not Taken,0.0,Yes,No,0
Vocational,No,No,Solar Energy ,UK,Other,Other,01-2021,No,No,Working professional,7+,1987,Yes,No,0,<10,Self funding,Not provided,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Commerce,UK,Other,Other,01-2021,No,No,Working professional,4-6,1996,Yes,No,0,Not provided,Combined self /parent funding and bank loan,Own business,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Business & Economics,UK,Canada,Australia,01-2022,No,No,Student,0,1997,Yes,Yes,6,>30,Combined self /parent funding and bank loan,In-Service,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Business & Economics,UK,UK,UK,01-2021,No,No,Student,0,2003,Yes,No,0,Not provided,Self funding,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Engineering,Canada,Australia,USA,01-2021,No,No,Working professional,4-6,1994,Yes,Yes,<5,Not provided,Parents asset,Not provided,Yes,IELTS,7.5,Yes,No,0
Postgraduate,No,No,Engineering,Australia,Canada,Canada,01-2021,No,No,Working professional,1-3,1996,Yes,No,0,Not provided,Self funding,Not provided,No,Not Taken,0.0,Yes,No,0
Undergraduate,No,No,Engineering,New Zealand,Ireland,Other,01-2021,No,No,Student,0,2003,No,No,0,Not provided,Parents asset,In-Service,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Engineering,Australia,Other,Other,01-2021,No,No,Working professional,1-3,1998,Yes,Yes,<5,Not provided,Parents asset,Not provided,No,Not Taken,0.0,Yes,No,1
Postgraduate,No,No,AI,Canada,USA,Other,01-2021,No,No,Student,0,1998,No,Yes,>10,10-20,Parents asset,Own business,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,management ,Canada,Other,Other,01-2022,No,No,Student,0,2002,Yes,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Undergraduate,No,No,Engineering,UK,USA,Australia,01-2021,No,No,Student,0,1998,No,No,0,Not provided,Parents asset,Not provided,No,Not Taken,0.0,No,No,0
Postgraduate,No,No,Other,UK,Ireland,Other,02-2000,No,No,Working professional,4-6,1989,Yes,Yes,<5,Not provided,Not provided,Not provided,Yes,IELTS,7.5,Yes,Fateh,0
